Tiempo	energiaX	EnergiaY	energiaZ	last_valX	last_valY	last_valZ
0	0	0	1	0	0	0
1	0	0	1	508	509	608
2	0	0	1	508	509	608
3	0	0	1	508	509	609
4	0	0	1	508	508	609
5	0	0	1	508	509	609
6	0	0	1	508	509	609
7	0	0	1	508	509	609
8	0	0	1	508	509	609
9	0	0	1	508	508	609
10	0	0	1	508	509	609
11	0	0	1	508	508	609
12	0	0	1	508	509	609
13	0	0	1	508	509	609
14	0	0	1	508	509	609
15	0	0	1	508	509	608
16	0	0	1	509	509	609
17	0	0	1	508	508	608
18	0	0	1	508	509	610
19	0	0	1	508	508	609
20	0	0	1	508	509	609
21	0	0	1	508	508	608
22	0	0	1	508	509	609
23	0	0	1	508	508	609
24	0	0	1	508	509	609
25	0	0	1	508	508	608
26	0	0	1	508	508	609
27	0	0	1	508	508	609
28	0	0	1	508	509	609
29	0	0	1	508	509	609
30	0	0	1	508	509	608
31	0	0	1	508	509	608
32	0	0	1	508	509	609
33	0	0	1	508	509	609
34	0	0	1	508	509	609
35	0	0	1	508	509	608
36	0	0	1	508	509	609
37	0	0	1	508	508	610
38	0	0	1	508	508	609
39	0	0	1	508	509	608
40	0	0	1	508	508	609
41	0	0	1	508	509	610
42	0	0	1	508	508	608
43	0	0	1	508	509	609
44	0	0	1	508	509	608
45	0	0	1	508	509	610
46	0	0	1	508	509	608
47	0	0	1	508	509	608
48	0	0	1	508	509	607
49	0	0	1	508	508	609
50	0	0	1	508	509	611
51	0	0	1	508	509	608
52	0	0	1	508	508	609
53	0	0	1	508	508	608
54	0	0	1	508	508	610
55	0	0	1	508	508	608
56	0	0	1	508	509	608
57	0	0	1	508	508	609
58	0	0	1	508	509	610
59	0	0	1	508	508	609
60	0	0	1	508	509	608
61	0	0	1	508	509	608
62	0	0	1	509	509	609
63	0	0	1	508	509	609
64	0	0	1	508	509	609
65	0	0	1	508	509	608
66	0	0	1	508	508	609
67	0	0	1	508	508	609
68	0	0	1	508	508	609
69	0	0	1	508	508	608
70	0	0	1	508	508	609
71	0	0	1	508	509	608
72	0	0	1	508	509	609
73	0	0	1	508	508	609
74	0	0	1	508	509	608
75	0	0	1	508	509	609
76	0	0	1	508	508	610
77	0	0	1	508	509	609
78	0	0	1	508	509	609
79	0	0	1	508	508	609
80	0	0	1	508	509	609
81	0	0	1	508	509	608
82	0	0	1	508	509	608
83	0	0	1	508	508	610
84	0	0	1	508	508	609
85	0	0	1	508	508	608
86	0	0	1	508	509	608
87	0	0	1	508	509	609
88	0	0	1	508	508	610
89	0	0	1	508	509	608
90	0	0	1	508	509	609
91	0	0	1	508	509	609
92	0	0	1	508	509	609
93	0	0	1	508	509	609
94	0	0	1	508	509	609
95	0	0	1	508	508	609
96	0	0	1	508	509	610
97	0	0	1	508	508	609
98	0	0	1	508	509	609
99	0	0	1	508	509	609
100	0	0	1	508	508	609
101	0	0	1	508	509	609
102	0	0	1	508	508	609
103	0	0	1	508	509	609
104	0	0	1	508	509	608
105	0	0	1	508	509	609
106	0	0	1	508	509	609
107	0	0	1	508	509	609
108	0	0	1	508	509	609
109	0	0	1	508	509	609
110	0	0	1	508	508	608
